Family,Scientific Name,CPNP,BVNP,Factor
Papilionidae,Graphium agamemnon,1,1,1
Papilionidae,Graphium antiphates,1,,1
Papilionidae,Graphium doson,1,,1
Papilionidae,Graphium eurypylus,1,,1
Papilionidae,Graphium macareus,1,,1
Papilionidae,Graphium sarpedon,,1,1
Papilionidae,Lamproptera curius,1,,1
Papilionidae,Lamproptera meges,1,,1
Papilionidae,Meandrusa payeni,1,,1
Papilionidae,Papilio bianor,,1,1
Papilionidae,Papilio clytia,,1,1
Papilionidae,Papilio demoleus,1,,1
Papilionidae,Papilio helenus,1,1,1
Papilionidae,Papilio memnon,1,,1
Papilionidae,Papilio memnon agenor,,1,1
Papilionidae,Papilio nephelus,1,1,1
Papilionidae,Papilio paris,1,1,1
Papilionidae,Papilio polytes,1,1,1
Papilionidae,Papilio protenor,1,,1
Papilionidae,Troides aeacus,,1,1
Pieridae,Appias albina,1,,2
Pieridae,Appias galba,1,,2
Pieridae,Appias indra,1,1,2
Pieridae,Appias libythea,1,,2
Pieridae,Appias lyncida,,1,2
Pieridae,Catopsilia pomona,1,1,2
Pieridae,Cepora nadina,1,,2
Pieridae,Cepora nerissa,1,,2
Pieridae,Eurema,1,,2
Pieridae,Eurema blanda,1,,2
Pieridae,Eurema laeta,1,,2
Pieridae,Hebomoia glaucippe,1,,2
Pieridae,Ixias pyrene,1,,2
Pieridae,Leptosia nina,1,1,2
Pieridae,Pierini,1,,2
Pieridae,Pieris canidia,1,1,2
Pieridae,Prioneris thestylis,1,1,2
Nymphalidae,Argynnis hyperbius,1,1,3
Nymphalidae,Ariadne ariadne,1,1,3
Nymphalidae,Athyma,1,1,3
Nymphalidae,Athyma selenophora,1,1,3
Nymphalidae,Cethosia biblis,1,,3
Nymphalidae,Cethosia cyane,1,1,3
Nymphalidae,Charaxes marmax,1,,3
Nymphalidae,Charaxes bernardus,1,,3
Nymphalidae,Chersonesia risa,1,,3
Nymphalidae,Cirrochroa tyche,1,1,3
Nymphalidae,Coelites nothis,1,,3
Nymphalidae,Cupha erymanthis,1,,3
Nymphalidae,Cyrestis cocles,1,,3
Nymphalidae,Cyrestis themire,1,,3
Nymphalidae,Cyrestis thyodamas,1,1,3
Nymphalidae,Danaus genutia,1,1,3
Nymphalidae,Dophla evelina,1,,3
Nymphalidae,Elymnias malelas,,1,3
Nymphalidae,Euploea,1,1,3
Nymphalidae,Euploea mulciber,,1,3
Nymphalidae,Euripus nyctelius,,1,3
Nymphalidae,Euthalia,1,,3
Nymphalidae,Euthalia eriphylae,1,,3
Nymphalidae,Euthalia monina,1,1,3
Nymphalidae,Faunis canens,1,,3
Nymphalidae,Faunis eumeus,,1,3
Nymphalidae,Hestinalis nama,,1,3
Nymphalidae,Hypolimnas bolina,1,1,3
Nymphalidae,Hypolimnas misippus,,1,3
Nymphalidae,Ideopsis,1,,3
Nymphalidae,Junonia almana,1,1,3
Nymphalidae,Junonia atlites,1,1,3
Nymphalidae,Junonia iphita,1,1,3
Nymphalidae,Junonia lemonias,1,,3
Nymphalidae,Kallima inachus,1,,3
Nymphalidae,Lethe confusa,1,1,3
Nymphalidae,Lethe distans,,1,3
Nymphalidae,Lethe naga,,1,3
Nymphalidae,Lethe sinorix,,1,3
Nymphalidae,Lethe vindhya,,1,3
Nymphalidae,Lexias pardalis,1,,3
Nymphalidae,Libythea myrrha,1,,3
Nymphalidae,Melanitis,,1,3
Nymphalidae,Melanitis leda,1,,3
Nymphalidae,Moduza procris,1,,3
Nymphalidae,Mycalesis,1,1,3
Nymphalidae,Neope bhadra,,1,3
Nymphalidae,Neope muirheadii,1,,3
Nymphalidae,Neptini,,1,3
Nymphalidae,Neptis,1,1,3
Nymphalidae,Pantoporia,1,,3
Nymphalidae,Parantica,,1,3
Nymphalidae,Parantica aglea,,1,3
Nymphalidae,Parantica melaneus,,1,3
Nymphalidae,Parasarpa dudu,,1,3
Nymphalidae,Penthema darlisa,1,,3
Nymphalidae,Phalanta alcippe,1,,3
Nymphalidae,Polyura athamas,1,1,3
Nymphalidae,Polyura nepenthes,1,,3
Nymphalidae,Prothoe franck,1,,3
Nymphalidae,Rohana parisatis,1,,3
Nymphalidae,Stibochiona nicea,1,1,3
Nymphalidae,Stichophthalma fruhstorferi,1,,3
Nymphalidae,Stichophthalma suffusa,1,1,3
Nymphalidae,Sumalia daraxa,,1,3
Nymphalidae,Symbrenthia lilaea,1,1,3
Nymphalidae,Tanaecia,1,,3
Nymphalidae,Tanaecia julii,1,,3
Nymphalidae,Telinga malsara,1,,3
Nymphalidae,Thaumantis diores,1,,3
Nymphalidae,Thauria lathyi,1,,3
Nymphalidae,Tirumala limniace,1,1,3
Nymphalidae,Tirumala septentrionis,1,1,3
Nymphalidae,Vagrans,1,,3
Nymphalidae,Vagrans sinha,1,1,3
Nymphalidae,Vindula erota,1,1,3
Nymphalidae,Ypthima,1,1,3
Riodinidae,Abisara echerius,1,,4
Riodinidae,Dodona ouida,,1,4
Riodinidae,Zemeros flegyas,1,1,4
Lycaenidae,Acytolepis puspa,1,1,5
Lycaenidae,Anthene emolus,1,,5
Lycaenidae,Arhopala aida,1,,5
Lycaenidae,Arhopala centaurus,1,,5
Lycaenidae,Catochrysops panormus,1,,5
Lycaenidae,Catochrysops strabo,1,,5
Lycaenidae,Celastrina lavendularis,1,1,5
Lycaenidae,Curetis,1,,5
Lycaenidae,Heliophorus ila,,1,5
Lycaenidae,Heliophorus delacouri,1,1,5
Lycaenidae,Jamides alecto,1,1,5
Lycaenidae,Jamides celeno,1,,5
Lycaenidae,Jamides elpis,1,,5
Lycaenidae,Luthrodes pandava,1,1,5
Lycaenidae,Megisba malaya,1,1,5
Lycaenidae,Nacaduba kurava,,1,5
Lycaenidae,Prosotas dubiosa,1,,5
Lycaenidae,Prosotas nora,1,1,5
Lycaenidae,Pseudozizeeria maha,,1,5
Lycaenidae,Rapala manea,,1,5
Lycaenidae,Rapala nissa,,1,5
Lycaenidae,Udara dilecta,1,,5
Lycaenidae,Yasoda tripunctata,1,1,5
Lycaenidae,Zeltus amasa,1,,5
Hesperiidae,Borbo,,1,6
Hesperiidae,Celaenorrhinini,1,,6
Hesperiidae,Celaenorrhinus vietnamicus,1,,6
Hesperiidae,Gangara thyrsis,1,,6
Hesperiidae,Hasora,,1,6
Hesperiidae,Hesperiidae,,1,6
Hesperiidae,Matapa,,1,6
Hesperiidae,Mooreana trichoneura,1,1,6
Hesperiidae,Notocrypta,1,,6
Hesperiidae,Odontoptilum angulata,1,,6
Hesperiidae,Parnara,,1,6
Hesperiidae,Pseudocoladenia dan,1,,6
Hesperiidae,Telicota,1,,6
